#-------------------------------------------
# Food Diary Report - Detailed Report,"Saturday, February 1, 2020","Saturday, February 29, 2020"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
Total,1539,36.33,126.02,56.64
Breakfast,274,11.21,30.17,13.7
Lunch,251,7.94,24.9,14.18
Dinner,631,15.52,54.25,25.41
Snacks/Other,382,1.66,16.69,3.35

#-------------------------------------------
# Report Details
#-------------------------------------------
Date,Cals ( kcal),Fat( g),Sat( g),Carbs( g),Fiber( g),Sugar( g),Prot( g),Sod( mg),Chol( mg),Potassium( mg)
  Creamy Braised White Beans,304,4.57,1.502,50.4,11.5,7.18,17.09,207,6,601
   1 serving
  Toasted White Bread,146,2,0.289,27.2,1.2,2.37,4.5,296,0,66
   50 g
 Snacks/Other,322,0,0,26.62,0,0,3.45,30,0,202
  Beer,322,0,0,26.62,0,0,3.45,30,0,202
   25 fl oz

"Tuesday, February 4, 2020",1510,33.23,15.335,198.37,18.47,53.08,60.64,1741.56,382,1616
 Breakfast,518,15.86,9.101,67.06,1.5,27.17,21.71,705,49,698
  Whole Milk,293,15.86,9.101,22.06,0,25.67,15.71,195,49,698
   2 cups
  New French Bakery French Baguette,225,0,,45,1.5,1.5,6,510,0,
"   1 1/2  x 1/5 loaf, 3 oz"
 Lunch,537,4.8,1.541,100.52,15.87,21.52,22.81,593.56,6,749
  Apples,72,0.23,0.039,19.06,3.3,14.34,0.36,1,0,148
   1 medium (2-3/4" dia) (approx 3 per lb)
  Creamy Braised White Beans,304,4.57,1.502,50.4,11.5,7.18,17.09,207,6,601
   1 serving
  Panera Bread French Baguette,161,0,0,31.06,1.07,0,5.36,385.56,0,
   60 g
 Dinner,455,12.57,4.693,30.79,1.1,4.39,16.12,443,327,169
  Egg,110,7.46,2.324,0.58,0,0.58,9.44,105,317,100
   1 1/2 large
  Cheddar Cheese,40,3.31,2.109,0.13,0,0.05,2.49,62,10,10
   10 g
  Toasted White Bread,132,1.8,0.26,24.48,1.1,2.13,4.05,266,0,59
   45 g
  Champagne,173,0,0,5.6,0,1.63,0.14,10,0,
   2 glasses (3.5 fl oz)
 Snacks/Other,,,,,,,,,,

"Wednesday, February 5, 2020",1013,17.99,7.762,73.5,5.3,18.38,15.39,799,97,470
 Breakfast,234,9.72,3.063,29.75,0.9,2.21,6.49,438,75,298
  Scone,229,9.63,3.054,29.56,0.9,2.21,5.92,429,75,75
   65 g
  Coffee,5,0.09,0.009,0.19,0,0,0.57,9,0,223
   2 mugs (8 fl oz)
 Lunch,,,,,,,,,,
 Dinner,534,8.04,4.66,19.09,1.1,0.2,8.4,350,22,24
  Baguette,99,1.08,0.231,18.68,1.1,0.09,3.17,219,0,
   36 g
  Cheddar Cheese,85,6.96,4.429,0.27,0,0.11,5.23,130,22,21
   21 g
  Whiskey,350,0,0,0.14,0,0,0,1,0,3
   5 fl oz (no ice)
 Snacks/Other,245,0.23,0.039,24.66,3.3,15.97,0.5,11,0,148
  Apples,72,0.23,0.039,19.06,3.3,14.34,0.36,1,0,148
   1 medium (2-3/4" dia) (approx 3 per lb)
  Champagne,173,0,0,5.6,0,1.63,0.14,10,0,
   2 glasses (3.5 fl oz)

"Thursday, February 6, 2020",1589,21.58,8.593,68.65,3.8,12.12,49.06,2569,265.5,640
 Breakfast,5,0.09,0.009,0.19,0,0,0.57,9,0,223
  Coffee,5,0.09,0.009,0.19,0,0,0.57,9,0,223
   2 mugs (8 fl oz)
 Lunch,285,15,6,25.5,3,12,9,1605,22.5,
  Zoup! Mushroom Bisque,285,15,6,25.5,3,12,9,1605,22.5,
"   1 1/2  x 1 cup, 12 oz"
 Dinner,599,6.49,2.584,42.68,0.8,0.12,39.49,953,243,411
  Baguette,77,0.84,0.179,14.53,0.8,0.07,2.46,171,0,
   28 g
  Cheddar Cheese,36,2.98,1.898,0.12,0,0.05,2.24,56,9,9
   9 g
  Beer,322,0,0,26.62,0,0,3.45,30,0,202
   25 fl oz
  Shrimp,164,2.67,0.507,1.41,0,0,31.34,696,234,200
"   8 oz, with shell raw (yield after cooking, shell removed)"
 Snacks/Other,700,0,0,0.28,0,0,0,2,0,6
  Whiskey,350,0,0,0.14,0,0,0,1,0,3
   5 fl oz (no ice)
  Whiskey,350,0,0,0.14,0,0,0,1,0,3
   5 fl oz (no ice)

"Friday, February 7, 2020",2819,75.56,37.399,134.87,7.8,22.06,77.49,1685,1198,4344
 Breakfast,560,33.21,15.561,27.29,1.2,3.58,35.71,869,686,523
  Coffee,5,0.09,0.009,0.19,0,0,0.57,9,0,223
   2 mugs (8 fl oz)
  Cheddar Cheese,202,16.57,10.546,0.64,0,0.26,12.45,310,52,49
   50 g
  Bread,133,1.64,0.358,25.3,1.2,2.16,3.82,340,0,50
   50 g
  Egg,220,14.91,4.648,1.16,0,1.16,18.87,210,634,201
   3 large
 Lunch,699,42.35,21.838,43.65,6.6,9.37,37.44,728,512,1760
  Whole Milk,73,3.96,2.275,5.51,0,6.42,3.93,49,12,174
   1/2 cup
  Gruyere Cheese,117,9.17,5.362,0.1,0,0.1,8.45,95,31,23
   1 oz
  Thomas' Original English Muffins,150,1,0,28,1,1,5,240,0,0
"   1 muffin, 61 g"
  Spinach,59,1,0.161,9.26,5.6,1.07,7.3,202,0,1424
   9 oz
  Butter,153,17.28,10.941,0.01,0,0.01,0.18,2,46,5
   1 1/2 tbsps
  Egg,147,9.94,3.099,0.77,0,0.77,12.58,140,423,134
   2 large
 Dinner,,,,,,,,,,
 Snacks/Other,1560,0,0,63.93,0,9.11,4.34,88,0,2061
  Beer,310,0,0,25.56,0,0,3.31,29,0,194
   2 cans or bottles (12 fl oz)
  Red Table Wine,1250,0,0,38.37,0,9.11,1.03,59,0,1867
   10 5 fl oz servings

"Saturday, February 8, 2020",1558,57.29,30.658,160.88,14.9,57.03,76.33,2758.4,284.85,2081
 Breakfast,444,23.88,13.661,33.28,0,38.5,24.14,302,73,1270
  Coffee,5,0.09,0.009,0.19,0,0,0.57,9,0,223
   2 mugs (8 fl oz)
  Whole Milk,439,23.79,13.652,33.09,0,38.5,23.57,293,73,1047
   3 cups
 Lunch,265,8.73,4.782,36.14,1.7,3.02,10.35,548.4,17.85,70
  Bread,186,2.3,0.502,35.43,1.7,3.02,5.35,477,0,70
   70 g
  Trader Joe's Gruyere Cheese,79,6.43,4.28,0.71,0,0,5,71.4,17.85,
   20 g
 Dinner,849,24.68,12.215,91.46,13.2,15.51,41.84,1908,194,741
  Broccoli,62,0.67,0.071,12.08,4.7,3.09,5.13,60,0,575
   2 cups chopped
  Cheese Sauce,110,8.37,3.786,4.3,0.3,0.26,4.23,522,18,19
   1/4 cup
  Lemony Shrimp and Bean Stew,389,14,8,37,7,10,27,972,176,
"   1 Serving, 4 Servings/Recipe"
  Beer,155,0,0,12.78,0,0,1.66,14,0,97
   1 can or bottle (12 fl oz)
  Bread,133,1.64,0.358,25.3,1.2,2.16,3.82,340,0,50
   50 g
 Snacks/Other,,,,,,,,,,

"Sunday, February 9, 2020",1142,14,8,76.4,7,10,32.11,1016,176,299
 Breakfast,,,,,,,,,,
 Lunch,322,0,0,26.62,0,0,3.45,30,0,202
  Beer,322,0,0,26.62,0,0,3.45,30,0,202
   25 fl oz
 Dinner,276,0,0,0,0,0,0,0,0,
  Jameson Irish Whiskey,276,0,0,0,0,0,0,0,0,
"   4  x 1 shot, 4 oz"
 Snacks/Other,544,14,8,49.78,7,10,28.66,986,176,97
  Lemony Shrimp and Bean Stew,389,14,8,37,7,10,27,972,176,
"   1 Serving, 4 Servings/Recipe"
  Beer,155,0,0,12.78,0,0,1.66,14,0,97
   1 can or bottle (12 fl oz)

"Monday, February 10, 2020",1580,69.48,25.801,158.13,17.5,24.52,67.83,2571,522,1278
 Breakfast,648,32.53,17.063,52.65,4.1,5.12,35.36,944,486,310
  English Muffin,263,1.96,0.85,51.24,4.1,4.09,10.29,493,0,126
   2 muffins
  Egg,147,9.94,3.099,0.77,0,0.77,12.58,140,423,134
   2 large
  Butter,36,4.06,2.568,0,0,0,0.04,1,11,1
"   1 pat (1"" sq, 1/3"" high)"
  Cheddar Cheese,202,16.57,10.546,0.64,0,0.26,12.45,310,52,49
   50 g
 Lunch,,,,,,,,,,
 Dinner,716,29.02,4.187,94.42,13.4,6.57,24.61,1529,12,618
  Carmelized Shallot Pasta,545,16,2,83,8,3,18,874,12,
"   1 Serving, 4 Servings/Recipe"
  Cooked Asparagus (from Fresh),111,6.27,1.255,11.42,5.4,3.57,6.61,655,0,618
   10 oz
  Olive Oil,60,6.75,0.932,0,0,0,0,0,0,0
   1/2 tbsp
 Snacks/Other,216,7.93,4.551,11.06,0,12.83,7.86,98,24,350
  Whole Milk,146,7.93,4.551,11.03,0,12.83,7.86,98,24,349
   1 cup
  Whiskey,70,0,0,0.03,0,0,0,0,0,1
   1 fl oz (no ice)

"Tuesday, February 11, 2020",1308,30.89,17.931,72.46,4.1,22.74,34.41,723,92,686
 Breakfast,220,11.9,6.826,16.54,0,19.25,11.79,146,37,523
  Whole Milk,220,11.9,6.826,16.54,0,19.25,11.79,146,37,523
   1 1/2 cups
 Lunch,,,,,,,,,,
 Dinner,409,18.99,11.105,37.04,4.1,3.49,22.11,577,55,162
  Rye Bread,181,2.31,0.438,33.81,4.1,2.7,5.95,462,0,116
   70 g
  Swiss Cheese,228,16.68,10.667,3.23,0,0.79,16.16,115,55,46
   60 g
 Snacks/Other,679,0,0,18.88,0,0,0.51,0,0,1
  Whiskey,70,0,0,0.03,0,0,0,0,0,1
   1 fl oz (no ice)
  Cabernet Sauvignon Wine,609,0,,18.85,,,0.51,,,
   25 fl oz

"Wednesday, February 12, 2020",1909,34.4,5.6,144.76,24,0,29.45,1772.4,8,209
 Breakfast,,,,,,,,,,
 Lunch,,,,,,,,,,
 Dinner,747,34.4,5.6,117.8,24,0,26,1739.4,8,
  Greek Lemon Potatoes,276,14.4,1.6,32.8,4,0,4,530.4,0,
   0.8  x 1
  Vegetarian Black Bean Burgers,471,20,4,85,20,0,22,1209,8,
   1 Serving
 Snacks/Other,1162,0,0,26.96,0,0,3.45,33,0,209
  Whiskey,840,0,0,0.34,0,0,0,3,0,7
   12 fl oz (no ice)
  Beer,322,0,0,26.62,0,0,3.45,30,0,202
   25 fl oz

"Thursday, February 13, 2020",1328,25.45,5.019,222.14,30.5,21.19,43.58,2234,8,543
 Breakfast,471,20,4,85,20,0,22,1209,8,
  Vegetarian Black Bean Burgers,471,20,4,85,20,0,22,1209,8,
   1 Serving
 Lunch,72,0.23,0.039,19.06,3.3,14.34,0.36,1,0,
  Granny Smith Apples,72,0.23,0.039,19.06,3.3,14.34,0.36,1,0,
   1 medium (2-3/4" dia)
 Dinner,585,5.22,0.98,111.94,7.2,5.39,21.06,1015,0,244
  Linguine,540,3.18,0.602,105.53,6.2,1.91,19.83,800,0,
"   4.3 oz, dry, yields"
  Cooked Tomato and Onion (Fat Added in Cooking),45,2.04,0.378,6.41,1,3.48,1.23,215,0,244
   1/2 cup
 Snacks/Other,200,0,0,6.14,0,1.46,0.16,9,0,299
  Red Table Wine,200,0,0,6.14,0,1.46,0.16,9,0,299
   8 fl oz

"Friday, February 14, 2020",1533,23.81,10.438,100.43,5.2,28.09,29.49,680,49,1180
 Breakfast,569,23.81,10.438,64.01,5.2,28.09,24.8,637,49,901
  Whole Milk,293,15.86,9.101,22.06,0,25.67,15.71,195,49,698
   2 cups
  English Muffin,132,0.98,0.425,25.62,2,2.05,5.14,246,0,63
   1 muffin
  Hummus,144,6.97,0.912,16.33,3.2,0.37,3.95,196,0,140
   1/3 cup
 Lunch,,,,,,,,,,
 Dinner,964,0,0,36.42,0,0,4.69,43,0,279
  Beer,439,0,0,36.21,0,0,4.69,41,0,275
   34 fl oz
  Whiskey,525,0,0,0.21,0,0,0,2,0,4
   5 jiggers
 Snacks/Other,,,,,,,,,,

"Sunday, February 16, 2020",1435,45.69,7.343,84.48,13.4,7.71,75.88,1486,129,1921
 Breakfast,,,,,,,,,,
 Lunch,,,,,,,,,,
 Dinner,1113,45.69,7.343,57.86,13.4,7.71,72.43,1456,129,1719
  Roasted Potato,215,10.08,1.296,28.89,3.6,1.3,3.34,145,0,696
"   8 oz, raw, yields"
  Icelandic Wild Caught Cod Loins,288,2.4,0,0,0,0,60,240,120,
   12 oz
  Cooked Broccoli (Fat Not Added in Cooking),102,1.19,0.23,20.78,9.6,4.02,6.9,809,0,847
"   3 cups, flowerets"
  Iliada Olive Oil,260,28,4,0,0,0,0,0,0,
"   2  x 1 tbsp, 30 ml"
  Cheese Sauce,53,4.02,1.817,2.07,0.2,0.13,2.03,250,9,9
   0.12 cup
  White Table Wine,195,0,0,6.12,0,2.26,0.16,12,0,167
   8 fl oz
 Snacks/Other,322,0,0,26.62,0,0,3.45,30,0,202
  Beer,322,0,0,26.62,0,0,3.45,30,0,202
   25 fl oz

"Monday, February 17, 2020",1475,46.63,15.754,78.55,7.6,3.15,108.66,1332,618,2474
 Breakfast,450,24.17,11.029,28.87,1,1.87,26.07,476,465,158
  Egg,147,9.94,3.099,0.77,0,0.77,12.58,140,423,134
   2 large
  Thomas' Original English Muffins,150,1,0,28,1,1,5,240,0,0
"   1 muffin, 61 g"
  Butter,36,4.06,2.568,0,0,0,0.04,1,11,1
"   1 pat (1"" sq, 1/3"" high)"
  Gruyere Cheese,117,9.17,5.362,0.1,0,0.1,8.45,95,31,23
   1 oz
 Lunch,,,,,,,,,,
 Dinner,745,22.46,4.725,49.57,6.6,1.28,82.59,855,153,2314
  Brown Rice,215,1.74,0.349,44.42,3.5,0.68,4.99,587,0,84
   1 cup cooked
  Salmon,497,20.17,4.287,0,0,0,73.55,156,153,1439
   12 oz boneless
  Spinach,33,0.55,0.089,5.15,3.1,0.6,4.05,112,0,791
   5 oz
 Snacks/Other,280,0,0,0.11,0,0,0,1,0,2
  Whiskey,280,0,0,0.11,0,0,0,1,0,2
   4 fl oz (no ice)

"Tuesday, February 18, 2020",1656,44.15,12.018,162.59,23.8,21.53,44.26,2201,107,1444
 Breakfast,5,0.09,0.009,0.19,0,0,0.57,9,0,223
  Coffee,5,0.09,0.009,0.19,0,0,0.57,9,0,223
   2 mugs (8 fl oz)
 Lunch,186,5.06,2.568,28,1,1,5.04,241,11,1
  Butter,36,4.06,2.568,0,0,0,0.04,1,11,1
"   1 pat (1"" sq, 1/3"" high)"
  Thomas' Original English Muffins,150,1,0,28,1,1,5,240,0,0
"   1 muffin, 61 g"
 Dinner,1465,39,9.441,134.4,22.8,20.53,38.65,1951,96,1220
  Black Beans (Canned),195,0.62,0.161,35.48,14.8,,12.92,823,0,
   7 1/2 oz
  Mushrooms,25,0.39,0.057,3.72,1.1,1.87,3.5,6,0,361
   4 oz
  Rye Bread,128,1.64,0.311,23.96,2.9,1.91,4.22,327,0,82
   1 3/4 oz
  Euro Classic Imports Authentic French Brioche Hamburger Buns,320,8,,52,4,12,10,480,60,
"   2  x 1 bun, 100 g"
  Olive Oil,119,13.5,1.864,0,0,0,0,0,0,0
   1 tbsp
  Mayonnaise,57,4.91,0.72,3.51,0,0.94,0.13,105,4,1
   1 tbsp
  Cheddar Cheese,121,9.94,6.328,0.38,0,0.16,7.47,186,32,29
   30 g
  Red Table Wine,500,0,0,15.35,0,3.65,0.41,24,0,747
   4 5 fl oz servings
 Snacks/Other,,,,,,,,,,

"Wednesday, February 19, 2020",1599,41.96,8.809,77.43,8.7,25.69,25.63,1459,430,2227
 Breakfast,,,,,,,,,,
 Lunch,285,16.85,4.434,17,1.3,1.83,15.26,331,423,210
  Flour Tortillas,94,2.32,0.566,15.4,0.9,0.58,2.49,191,0,46
   1 medium (approx 6" dia)
  Peanut Oil,40,4.5,0.76,0,0,0,0,0,0,
   1 tsp
  Egg,147,9.94,3.099,0.77,0,0.77,12.58,140,423,134
   2 large
  Jalapeno Peppers,4,0.09,0.009,0.83,0.4,0.48,0.19,0,0,30
   1 pepper
 Dinner,1034,25.11,4.375,60.32,7.4,23.86,10.37,1127,7,2015
  Red Table Wine,634,0,0,19.46,0,4.62,0.52,30,0,947
   750 ml
  Olive Oil,179,20.25,2.796,0,0,0,0,0,0,0
   1 1/2 tbsps
  Tomato Soup,154,4.39,1.482,26.9,1.5,15.81,4.58,1058,7,461
   1 1/2 cups
  Brussels Sprouts,67,0.47,0.097,13.96,5.9,3.43,5.27,39,0,607
"   6 oz, raw, yields"
 Snacks/Other,280,0,0,0.11,0,0,0,1,0,2
  Whiskey,280,0,0,0.11,0,0,0,1,0,2
   4 fl oz (no ice)

"Thursday, February 20, 2020",1456,42.65,14.699,218.63,28.1,47.15,54.43,3394,76,1893
 Breakfast,301,8.02,4.56,41.22,1,13.83,12.43,447,24,572
  Coffee,5,0.09,0.009,0.19,0,0,0.57,9,0,223
   2 mugs (8 fl oz)
  Whole Milk,146,7.93,4.551,11.03,0,12.83,7.86,98,24,349
   1 cup
  New French Bakery French Baguette,150,0,,30,1,1,4,340,0,
"   1/5 loaf, 2 oz"
 Lunch,730,27.15,7.836,94.99,21.6,12.24,31.38,1528,42,464
  Black Beans (Canned),195,0.62,0.161,35.48,14.8,,12.92,823,0,
   7 1/2 oz
  Rye Bread,128,1.64,0.311,23.96,2.9,1.91,4.22,327,0,82
   1 3/4 oz
  Cheddar Cheese,85,6.96,4.429,0.27,0,0.11,5.23,130,22,21
   21 g
  Specially Selected Brioche Buns,155,4,1,26,2,6,5,240,20,
"   1 bun, 50 g"
  Mushrooms,25,0.39,0.057,3.72,1.1,1.87,3.5,6,0,361
   4 oz
  Olive Oil,119,13.5,1.864,0,0,0,0,0,0,0
   1 tbsp
  Red Onions,23,0.04,0.014,5.56,0.8,2.35,0.51,2,0,
   1/2 medium
 Dinner,423,7.48,2.298,81.71,5.5,21.08,10.62,1412,10,769
  Tomato Soup,205,5.86,1.976,35.87,2,21.08,6.1,1410,10,615
   2 cups
"  Brown Rice (Medium-Grain, Cooked)",218,1.62,0.322,45.84,3.5,,4.52,2,0,154
   1 cup
 Snacks/Other,2,0,0.005,0.71,0,0,0,7,0,88
  Tea (Brewed),2,0,0.005,0.71,0,0,0,7,0,88
   1 cup (8 fl oz)

"Friday, February 21, 2020",1670,28.13,4.069,118.59,8.54,13.59,82.11,2742.88,479,1163
 Breakfast,,,,,,,,,,
 Lunch,674,24.39,2.92,39.4,5.74,3.05,71.83,1992.88,474,484
  Flour Tortilla,159,3.95,0.962,26.19,1.6,0.98,4.23,324,0,79
   1 medium (approx 8" dia)
  Lantana Yellow Lentil Hummus,124,8.28,,10.36,4.14,2.07,4.14,258.88,0,
   58 g
  Shrimp,331,5.41,1.026,2.85,0,0,63.46,1410,474,405
   230 g
  Olive Oil,60,6.75,0.932,0,0,0,0,0,0,0
   1/2 tbsp
 Dinner,211,3.74,1.149,40.85,2.8,10.54,5.31,706,5,384
  Tomato Soup,102,2.93,0.988,17.93,1,10.54,3.05,705,5,307
   1 cup
"  Brown Rice (Medium-Grain, Cooked)",109,0.81,0.161,22.92,1.8,,2.26,1,0,77
   1/2 cup
 Snacks/Other,785,0,0,38.34,0,0,4.97,44,0,295
  Beer,464,0,0,38.34,0,0,4.97,43,0,292
   3 cans or bottles (12 fl oz)
  Vodka,321,0,0,0,0,0,0,1,0,3
   5 fl oz (no ice)

"Saturday, February 22, 2020",1188,54.53,13.213,43.32,7.4,6.9,125.29,2711.5,1338.5,1329
 Breakfast,,,,,,,,,,
 Lunch,738,20.85,3.461,32.86,2.6,1.48,97.93,2446.5,692,670
  Shrimp,484,7.9,1.499,4.17,0,0,92.7,2060,692,591
   12 oz cooked
  Lantana Yellow Lentil Hummus,30,2,,2.5,1,0.5,1,62.5,0,
"   1/2  x 2 tbsp, 14 g"
  Flour Tortilla,159,3.95,0.962,26.19,1.6,0.98,4.23,324,0,79
   1 medium (approx 8" dia)
  Iliada Olive Oil,65,7,1,0,0,0,0,0,0,
"   1/2  x 1 tbsp, 7.5 ml"
 Dinner,450,33.68,9.752,10.46,4.8,5.42,27.36,265,646.5,659
  Asparagus,45,0.27,0.104,8.8,4.8,4.26,4.99,5,0,458
   8 oz
  Egg,220,14.91,4.648,1.16,0,1.16,18.87,210,634,201
   3 large
  Trader Joe's Gruyere Cheese,55,4.5,3,0.5,0,0,3.5,50,12.5,
"   1/2  x 1 oz, 14 g"
  Iliada Olive Oil,130,14,2,0,0,0,0,0,0,
"   1 tbsp, 15 ml"
 Snacks/Other,,,,,,,,,,

"Sunday, February 23, 2020",1536,42.73,10.536,113.79,10.37,17.78,38.51,2044,441,1907
 Breakfast,251,10.09,0.962,33.87,4.67,2.52,7.3,516,0,79
  Flour Tortilla,159,3.95,0.962,26.19,1.6,0.98,4.23,324,0,79
   1 medium (approx 8" dia)
  Lantana Yellow Lentil Hummus,92,6.14,,7.68,3.07,1.54,3.07,192,0,
   43 g
 Lunch,379,20.52,4.944,29.92,2.6,4.83,17.65,562,423,215
  Flour Tortillas,144,3.56,0.868,23.62,1.4,0.88,3.81,293,0,71
   1 tortilla (approx 7-8" dia)
  Egg,147,9.94,3.099,0.77,0,0.77,12.58,140,423,134
   2 large
  Dole Green Onion,10,0,0,2,1,1,1,0,0,0
"   2 medium onions, 30 g"
  Olive Oil,60,6.75,0.932,0,0,0,0,0,0,0
   1/2 tbsp
  Hoisin Sauce,18,0.27,0.045,3.53,0.2,2.18,0.26,129,0,10
   1/2 tbsp
 Dinner,755,5.56,1.074,34.42,2.6,9.17,5.67,758,0,1580
  Vegetable Soup (Home Recipe),123,5.56,1.074,15.01,2.6,4.56,5.15,728,0,635
   1 1/4 cups
  Red Table Wine,632,0,0,19.41,0,4.61,0.52,30,0,945
   25.3 fl oz
 Snacks/Other,151,6.56,3.556,15.58,0.5,1.26,7.89,208,18,33
  Swiss Cheese,76,5.56,3.556,1.08,0,0.26,5.39,38,18,15
   20 g
  Publix French Bread,75,1,0,14.5,0.5,1,2.5,170,0,18
"   1/2  x 1/6 loaf, 1 oz"

"Monday, February 24, 2020",1133,35.19,14.193,87.36,7.11,16.31,72.82,2505.38,160.4,1468
 Breakfast,207,9.82,5.787,17.65,1.1,0.72,11.76,396,30.7,39
  King Oscar Anchovies,5,0.26,0.08,0,0,0,0.68,153,1.7,
   3 g
  Jalapeno Peppers,2,0.04,0.004,0.41,0.2,0.24,0.09,0,0,15
   1/2 pepper
  Swiss Cheese,118,8.62,5.511,1.67,0,0.41,8.35,60,29,24
   31 g
  Baguette,82,0.9,0.192,15.57,0.9,0.07,2.64,183,0,
   30 g
 Lunch,220,10.36,3.298,22.43,3.31,1.64,10.2,507.38,17.7,28
  Baguette,82,0.9,0.192,15.57,0.9,0.07,2.64,183,0,
   30 g
  Lantana Yellow Lentil Hummus,66,4.43,,5.54,2.21,1.11,2.21,138.38,0,
   31 g
  Jalapeno Peppers,2,0.04,0.004,0.41,0.2,0.24,0.09,0,0,15
   1/2 pepper
  King Oscar Anchovies,5,0.26,0.08,0,0,0,0.68,153,1.7,
   3 g
  Swiss Cheese,65,4.73,3.022,0.91,0,0.22,4.58,33,16,13
   17 g
 Dinner,706,15.01,5.108,47.28,2.7,13.95,50.86,1602,112,1401
  Cabernet Sauvignon Wine,195,0,,6.03,,,0.16,,,
   8 fl oz
  Fish Chowder,381,9.81,4.241,23.42,1.5,12.25,47.48,1171,112,1327
   2 cups
  Baguette,82,0.9,0.192,15.57,0.9,0.07,2.64,183,0,
   30 g
  Vinaigrette Dressing,43,4.17,0.658,1.53,0,1.22,0.06,243,0,
   1 tbsp
  Arugula Lettuce,5,0.13,0.017,0.73,0.3,0.41,0.52,5,0,74
   1 cup
